Optimizer,learning_rate,epoch,loss
SGD,5.00e-05,64,1211284
SGD,5.00e-05,65,1209779
SGD,5.00e-05,66,1208284
SGD,5.00e-05,67,1206797
SGD,5.00e-05,68,1205315
SGD,5.00e-05,69,1203837
SGD,5.00e-05,70,1202360
SGD,5.00e-05,71,1200882
SGD,5.00e-05,72,1199402
SGD,5.00e-05,73,1197917
SGD,5.00e-05,74,1196426
SGD,5.00e-05,75,1194928
SGD,5.00e-05,76,1193420
SGD,5.00e-05,77,1191901
SGD,5.00e-05,78,1190371
SGD,5.00e-05,79,1188828
SGD,5.00e-05,80,1187270
SGD,5.00e-05,81,1185697
SGD,5.00e-05,82,1184109
SGD,5.00e-05,83,1182503
SGD,5.00e-05,84,1180880
SGD,5.00e-05,85,1179239
SGD,5.00e-05,86,1177579
SGD,5.00e-05,87,1175900
SGD,5.00e-05,88,1174203
SGD,5.00e-05,89,1172486
SGD,5.00e-05,90,1170750
SGD,5.00e-05,91,1168995
SGD,5.00e-05,92,1167221
SGD,5.00e-05,93,1165430
SGD,5.00e-05,94,1163620
SGD,5.00e-05,95,1161794
SGD,5.00e-05,96,1159950
SGD,5.00e-05,97,1158092
SGD,5.00e-05,98,1156219
SGD,5.00e-05,99,1154332
SGD,5.00e-05,100,1152433
SGD,1.00e-05,1,6660907
SGD,1.00e-05,2,5844533
SGD,1.00e-05,3,5212333
SGD,1.00e-05,4,4714878
SGD,1.00e-05,5,4317215
SGD,1.00e-05,6,3994405
SGD,1.00e-05,7,3728483
SGD,1.00e-05,8,3506385
SGD,1.00e-05,9,3318507
SGD,1.00e-05,10,3157711
SGD,1.00e-05,11,3018631
SGD,1.00e-05,12,2897185
SGD,1.00e-05,13,2790234
SGD,1.00e-05,14,2695329
SGD,1.00e-05,15,2610542
SGD,1.00e-05,16,2534338
SGD,1.00e-05,17,2465477
SGD,1.00e-05,18,2402948
SGD,1.00e-05,19,2345922
SGD,1.00e-05,20,2293707
SGD,1.00e-05,21,2245726
SGD,1.00e-05,22,2201490
SGD,1.00e-05,23,2160581
SGD,1.00e-05,24,2122644
SGD,1.00e-05,25,2087371
SGD,1.00e-05,26,2054495
SGD,1.00e-05,27,2023782
SGD,1.00e-05,28,1995029
SGD,1.00e-05,29,1968056
SGD,1.00e-05,30,1942705
SGD,1.00e-05,31,1918834
SGD,1.00e-05,32,1896319
SGD,1.00e-05,33,1875047
SGD,1.00e-05,34,1854919
SGD,1.00e-05,35,1835845
SGD,1.00e-05,36,1817744
SGD,1.00e-05,37,1800543
SGD,1.00e-05,38,1784175
SGD,1.00e-05,39,1768583
SGD,1.00e-05,40,1753710
SGD,1.00e-05,41,1739508
SGD,1.00e-05,42,1725932
SGD,1.00e-05,43,1712940
SGD,1.00e-05,44,1700496
SGD,1.00e-05,45,1688564
SGD,1.00e-05,46,1677114
SGD,1.00e-05,47,1666115
SGD,1.00e-05,48,1655541
SGD,1.00e-05,49,1645369
SGD,1.00e-05,50,1635573
SGD,1.00e-05,51,1626136
SGD,1.00e-05,52,1617035
SGD,1.00e-05,53,1608253
SGD,1.00e-05,54,1599774
SGD,1.00e-05,55,1591582
SGD,1.00e-05,56,1583662
SGD,1.00e-05,57,1576001
SGD,1.00e-05,58,1568586
SGD,1.00e-05,59,1561406
SGD,1.00e-05,60,1554449
SGD,1.00e-05,61,1547704
SGD,1.00e-05,62,1541163
SGD,1.00e-05,63,1534816
SGD,1.00e-05,64,1528655
SGD,1.00e-05,65,1522671
SGD,1.00e-05,66,1516858
SGD,1.00e-05,67,1511207
SGD,1.00e-05,68,1505713
SGD,1.00e-05,69,1500368
SGD,1.00e-05,70,1495167
SGD,1.00e-05,71,1490104
SGD,1.00e-05,72,1485174
SGD,1.00e-05,73,1480372
SGD,1.00e-05,74,1475693
SGD,1.00e-05,75,1471132
SGD,1.00e-05,76,1466684
SGD,1.00e-05,77,1462347
SGD,1.00e-05,78,1458116
SGD,1.00e-05,79,1453987
SGD,1.00e-05,80,1449957
SGD,1.00e-05,81,1446021
SGD,1.00e-05,82,1442178
SGD,1.00e-05,83,1438423
SGD,1.00e-05,84,1434755
SGD,1.00e-05,85,1431169
SGD,1.00e-05,86,1427665
SGD,1.00e-05,87,1424238
SGD,1.00e-05,88,1420886
SGD,1.00e-05,89,1417607
SGD,1.00e-05,90,1414399
SGD,1.00e-05,91,1411260
SGD,1.00e-05,92,1408187
SGD,1.00e-05,93,1405179
SGD,1.00e-05,94,1402234
SGD,1.00e-05,95,1399349
SGD,1.00e-05,96,1396523
SGD,1.00e-05,97,1393754
SGD,1.00e-05,98,1391041
SGD,1.00e-05,99,1388383
SGD,1.00e-05,100,1385777
